Part,Change,Page
201,Authority citation revised,512
201.51,"(a) and (b) revised","512, 39724, 52753, 59924"
204.4,(f) revised,64706
204.10,(b)(5) revised,"513, 20542, 39725, 52754, 59926"
206.2,(g) revised,61796
206.5,(a)(4) added,61796
208,Authority citation revised,"29051, 61796"
208.2,(d) revised,4240
208.2,Regulation at 84 FR 4240 eff. date delayed to 7-1-19,11879
208.2,(d)(3) added,61796
208.25,"(b)(7) through (11) revised; (b)(12), (13), (14), and (c)(3) added",4970
208.43,(a) and (b) revised,61796
208.43,"Correction: (a), (b) introductory text, and (1) revised",70887
208.101-208.105 (Subpart I),Removed,21692
208.120-208.124 (Subpart K),Added,29051
209,Nomenclature change; eff. 1-15-2020,68326
211,Nomenclature change,61797
211.2,(c)(1) revised,4241
211.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879
211.2,"(b), (c), and (x) revised",61797
211.9,"(a) footnote 5 redesignated as (a) footnote 1",61797
211.24,"(k) removed",21692
211.43,(c)(4) revised,4241
211.43,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879
212.3,(c) amended,54471
213,Supplement I amended,58018
215.2,(i) revised,4241
215.2,(i)(3) added,61797
215.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879
217,Authority citation revised,61797
217.1,(f)(5) added,59269
217.2,Amended,"4241, 35259, 59270"
217.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879
217.2,Amended; eff. 4-1-20,68032
217.10,(c)(3)(ii)(A) amended,4242
217.10,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879
217.10,(c)(4)(ii)(H) revised,35259
217.10,"(a)(5), (c) introductory text, and (4)(i) introductory text revised",59271
217.10,(a) revised,61797
217.11,"(a)(2)(i), (iv), (3)(i), and Table 1 revised",35259
217.11,(b)(1) introductory text and (ii) revised,59271
217.12,Added,61797
217.20,(d)(3) amended,4242
217.20,"Regulation at 84 FR 4242 eff. date delayed to 7-1-19",11879
217.20,"(b)(1)(iii), (4), (c)(2), (d)(2), and (5) revised; (f) added",35260
217.21,Revised; eff. 4-1-20,35260
217.21,Regulation at 84 FR 35260 eff. date revised as 1-1-20,61804
217.22,(c) footnote 23 amended,4242
217.22,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879
217.22,"(a)(1)(i), (c), (d), (g), and (h) revised"; eff. 4-1-20,35261
217.22,(b)(2)(ii) revised,59271
217.22,(f) revised,61798
217.22,Regulation at 84 FR 35261 eff. date revised as 1-1-20,61804
217.32,"(b), (d)(2), (3)(ii), (k), and (l) revised",35264
217.34,(c) revised,35265
217.35,"(b)(3)(ii), (4)(ii), (c)(3)(ii), and (4)(ii) revised",35266
217.36,(c) revised,35266
217.37,(b)(2)(i) revised,35266
217.38,(e)(2) revised,35266
217.42,(j)(2)(ii)(A) revised,35266
217.52,(b)(1) and (4) revised,35266
217.61,Revised,35267
217.63,Table 5 amended,4242
217.63,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879
217.63,Table 3 and Table 8 revised,35267
217.63,(d) and (e) added,59271
217.100,(b)(1) revised,59271
217.100,(b)(2) removed; (b)(3) redesignated as new (b)(2),59271
217.124,(a) and (b)(2) amended,4242
217.124,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879
217.131,(d)(2) revised,35268
217.133,(b)(3)(ii) and (c)(3)(ii) revised,35269
217.152,(b)(5) and (6) revised,35269
217.172,(d)(2) revised,59271
217.173,"Table 2, Table 3, and Table 5 amended",4242
217.173,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879
217.173,Heading and (a)(2) revised,59272
217.202,(b) amended,35269
217.210,(b)(2)(ii) and (vii)(A) revised,35269
217.300,(c)(2) and (3) revised; (b) and (d) removed; eff. in part 4-1-20,35269
217.300,(g) added,61807
217.300,Regulation at 84 FR 35269 eff. date revised as 1-1-20,61804
217.301,Added,4243
217.301,Regulation at 84 FR 4243 eff. date delayed to 7-1-19,11879
217.400,"(b)(1), (2) introductory text, and (i) revised; (b)(3) removed",59075
223.3,(d) revised,4244
223.3,Regulation at 84 FR 4244 eff. date delayed to 7-1-19,11879
223.3,(d)(4) added,61798
225.2,"(h) revised; (r)(1) footnote 2 redesignated as (r)(1) footnote 1; (r)(4) added",61799
225.8,(f)(2)(ii)(B) revised,8958
225.8,"(b)(1)(i), (2), (3), and (c) revised",59075
225.14,"(a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v)(A), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added",61799
225.14,"Correction: (a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added",70887
225.22,(d)(8)(vi) added,61800
225.23,"(a)(1) footnote 2 redesignated as (a)(1) footnote 1; (a)(1)(iii) and (c)(5)(i) revised; (c)(5)(iii) and (e) added",61800
225.24,(a)(2)(iv)(B) and (vi) revised,61801
225.62,"(f) revised; (k) through (n) redesignated as (l) through (o); new (k) added",53597
225.63,"(a)(1) and (d)(3) revised; (a)(13) and (14) amended; (a)(15) added",53597
225.63,(b) revised,53598
225.64,"Introductory text revised; (c), (d), and (e) redesignated as (d), (e), and (f); new (c) added",53598
225.87,(b)(4)(iv) added,61801
225.127,"(a), (d), and section amended; (h) revised",4244
225.127,Regulation at 84 FR 4244 eff. date delayed to 7-1-19,11879
225.174,(d) added,61801
225.175,(c)(3) added,61801
226,Supplement I amended,"58015, 58022"
228.12,(u)(1) revised,71740
229.1,"(a) revised; eff. 7-1-20",31695
229.2,"(c), (ff), and (jj) revised",31696
229.10,"(c)(1)(vii)(A) amended; eff. 7-1-20",31696
229.11,"Added; eff. 7-1-20",31696
229.12,"(d) amended; eff. 7-1-20","31696, 45403"
229.12,"(e) introductory text and (1) revised",31696
229.13,"(a)(1)(ii), (b), and (d)(2) amended; eff. 7-1-20",45403
229.21,"(a)(2)(i) amended; eff. 7-1-20",31697
229.21,"Amended; eff. 7-1-20",45403
229.43,Removed,31697
229,Appendix E amended; eff. 7-1-20,31697
237.1,"(h) added; interim",9948
238,Authority citation revised,"54472, 59076"
238.2,(v) through (ss) added,59076
238.10,Added,59077
238.53,(c)(2)(iii)(B) and (v) revised,61801
238.54,Amended,4309
238.93,(c) amended,54472
238.118-238.119 (Subpart M),Added,59077
238.120-238.123 (Subpart N),Added,59078
238.130-238.135 (Subpart O),Added,59083
238.140-238.146 (Subpart P),Added,59085
238.150-238.158 (Subpart Q),Added,59087
238.160-238.162 (Subpart R),Added,59095
242.1,(b)(2)(ii)(B) revised,59096
242.4,Revised,59096
243,Heading revised,59227
243.1,(a) amended,59227
243.13,Added,59227
248,Heading revised,35020
248.1,(c) revised,35020
248.2,(r) revised,35020
248.2,Revised,62129
